Interval,Trend.Value/Trend.Type/max available seats.avg,Trend.Value/Trend.Type/available seats.avg,Trend.Value/Trend.Type/ultraSound.avg,Trend.Value/Trend.Type/Sound.avg,Trend.Value/Trend.Type/Light.avg,Trend.Value/Trend.Type/Temperature.avg,Trend.Value/Trend.Type/Humidity.avg
10/22 0:20,805,805,305.3652392947103,238.58186397984886,113.65050377833754,21.20749370277078,8.568639798488665
10/22 0:40,805,805,305.9122751656674,237.7437677500789,107.99968444304197,21.071789207952037,10.127169454086463
10/22 1:00,805,805,306.7971561230412,239.6326175275682,119.20081253627394,21.213000580383053,10.55977945443993
10/22 1:20,805,805,309.95602605863195,238.02638436482084,110.32605863192182,21.222801302931597,11.76384364820847
10/22 1:40,805,805,315.5220326936745,234.73702914001422,98.69225302061123,21.16950959488273,12.531627576403697
10/22 2:00,805,805,316.2788331071913,234.3972184531886,110.46811397557666,21.10261194029851,12.075644504748983
10/22 2:20,805,805,312.0627938213566,232.02619207521826,107.08092679650773,21.05221625251847,12.655137676292814
10/22 2:40,805,805,316.25422535211266,233.7654929577465,99.5531690140845,21.0431338028169,12.080281690140845
10/22 3:00,805,805,317.96822107081175,234.44939550949914,103.06113989637306,21.256822107081174,12.107081174438687
10/22 3:20,805,805,320.9485365069154,232.42200064329367,119.04117079446767,21.2840141524606,12.453843679639755
10/22 3:40,805,805,311.35795454545456,233.81912878787878,125.57544191919192,21.34832702020202,12.551136363636363
10/22 4:00,805,805,320.7261256094064,233.8302265557786,171.59305993690853,21.218382563808433,13.217665615141955
10/22 4:20,805,805,317.7833853132974,236.46385029770343,166.54408846044797,21.300255174369152,13.334278423589453
10/22 4:40,805,805,318.24309063893014,235.76909361069838,143.6451708766716,21.434323922734027,13.871025260029718
10/22 5:00,805,805,313.56774193548387,235.6811059907834,123.14132104454686,21.289861751152074,16.52288786482335
10/22 5:20,805,805,315.35246140401983,237.3871249635887,155.17448295951064,21.384648995048064,17.292164287794932
10/22 5:40,805,790.3,312.73206150341684,238.00370159453303,189.2756264236902,21.271355353075172,17.384396355353076
10/22 6:00,805,766.7735849056604,313.065986972529,239.60691022373265,233.1639762107052,21.425233644859812,17.30501274426508
10/22 6:20,805,740.59375,304.00626118067976,244.90936195587358,355.979129397734,21.32841383422779,16.53279666070364
10/22 6:40,805,709.7763157894736,308.34976387249117,252.58589138134593,419.87012987012986,21.452774498229044,18.29043683589138
10/22 7:00,805,671.2666666666667,301.6068901876346,258.8498923408182,457.54075669024917,21.41033528145186,19.07167025530606
10/22 7:20,805,634.56,303.52486187845307,267.3247391037446,492.50828729281767,21.540208717004298,19.185389809699203
10/22 7:40,805,606.0131578947369,308.51254705144294,273.2776035131744,522.8237139272271,21.606493099121707,19.076223337515685
10/22 8:00,805,569.3571428571429,316.83514938488577,279.84358523725837,581.9957820738138,21.75957820738137,18.434797891036908
10/22 8:20,805,532.830985915493,313.9449572649573,283.7767521367521,607.494358974359,22.004102564102563,19.037606837606837
10/22 8:40,805,511.7142857142857,314.8351611831173,293.89431704885345,609.0398803589233,22.14606181455633,18.885676304420073
10/22 9:00,805,491.87254901960785,308.8860497237569,300.41125690607737,628.2786602209944,22.039364640883978,19.62396408839779
10/22 9:20,805,453.76146788990826,296.71903750884644,307.06050955414014,645.791932059448,22.064932767162066,18.105803255484783
10/22 9:40,805,452.5241379310345,291.7382940108893,312.6221415607985,659.9862068965517,22.22486388384755,17.067150635208712
10/22 10:00,805,486.58641975308643,306.2309803921569,316.37450980392157,659.3368627450981,22.121960784313725,17.794901960784312
10/22 10:20,805,493.56060606060606,303.7227762265656,318.48105305145594,660.1483845233347,22.14918228958915,17.280813721579577
10/22 10:40,805,501.66285714285715,310.91367757193535,323.3685455262121,679.5561687031927,22.14052029956642,16.703981080015765
10/22 11:00,805,421.0719424460432,308.4575779550399,326.42603335750545,649.7106598984772,22.314720812182742,17.126903553299492
10/22 11:20,805,398.92783505154637,305.2009933774834,327.5274834437086,622.5761589403974,22.265562913907285,17.146688741721853
10/22 11:40,805,392.34645669291336,312.57463672391015,326.612285336856,603.2774108322325,22.231836195508585,17.128467635402906
10/22 12:00,805,378,303.40458265139114,327.01178396072015,574.5135842880524,21.97266775777414,16.963338788870704
10/22 12:20,805,367.72093023255815,302.2023731048121,329.0032959789057,592.6595253790375,22.19841793012525,17.235662491760053
10/22 12:40,805,381.8813559322034,306.19568106312295,327.1936877076412,578.6521594684385,22.392691029900334,16.95847176079734
10/22 13:00,805,381.7798165137615,311.2261654135338,328.1518796992481,534.7780451127819,22.461052631578948,17.126315789473683
10/22 13:20,805,373.78,297.2116616110549,325.9935962251432,611.9406808223795,22.48112571621166,17.01314459049545
10/22 13:40,805,368.35714285714283,298.54814601897095,328.82494969818913,509.15521701638403,22.574446680080484,15.988502443230814
10/22 14:00,805,390.9381443298969,299.44985250737466,324.5345132743363,442.48790560471974,22.57566371681416,15.902064896755162
